127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/share.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/web2py.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/images/background.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-14 19:27:18, GET, /pluralsight/static/images/gplus-32.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:27:19, GET, /pluralsight/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:28:21, GET, /admin/default/index, HTTP/1.1, 303, 0.041000
127.0.0.1, 2017-07-14 19:28:22, GET, /admin/default/site, HTTP/1.1, 200, 0.265000
127.0.0.1, 2017-07-14 19:28:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-07-14 19:28:47, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.115000
127.0.0.1, 2017-07-14 19:28:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-07-14 19:29:07, POST, /admin/default/create_file, HTTP/1.1, 303, 0.100000
127.0.0.1, 2017-07-14 19:29:08, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.541000
127.0.0.1, 2017-07-14 19:29:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.112000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/js/ajax_editor.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-14 19:29:14, GET, /admin/static/_2.15.1/js/typeahead.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-07-14 19:29:15, GET, /admin/static/_2.15.1/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:15, GET, /admin/static/_2.15.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-14 19:29:15, GET, /favicon.ico, HTTP/1.1, 400, 0.007000
127.0.0.1, 2017-07-14 19:29:15, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.197000
127.0.0.1, 2017-07-14 19:29:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.265000
127.0.0.1, 2017-07-14 19:29:15, GET, /admin/static/_2.15.1/images/save_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-14 19:29:15, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.464000
127.0.0.1, 2017-07-14 19:29:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.483000
127.0.0.1, 2017-07-14 19:29:15, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.298000
127.0.0.1, 2017-07-14 19:29:15, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.581000
127.0.0.1, 2017-07-14 19:30:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.087000
127.0.0.1, 2017-07-14 19:30:19, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 4.352000
127.0.0.1, 2017-07-14 19:30:20, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.165000
127.0.0.1, 2017-07-14 19:30:29, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.379000
127.0.0.1, 2017-07-14 19:30:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-07-14 19:31:06, POST, /admin/default/create_file, HTTP/1.1, 303, 0.027000
127.0.0.1, 2017-07-14 19:31:07, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.277000
127.0.0.1, 2017-07-14 19:31:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-07-14 19:31:16, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.125000
127.0.0.1, 2017-07-14 19:31:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-07-14 19:31:17, GET, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.108000
127.0.0.1, 2017-07-14 19:31:17, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.108000
127.0.0.1, 2017-07-14 19:31:17, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.291000
127.0.0.1, 2017-07-14 19:31:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.345000
